experiment	cell	model	metric	value
E16-baseline	g7-literature	gemma4	strict_P_lt	0.0432
E16-baseline	g7-literature	gemma4	strict_R_lt	0.3889
E16-baseline	g7-literature	gemma4	cred_P_lt	0.1358
E16-baseline	g7-literature	gemma4	n_assert	278
E16-H1	g7-literature	gemma4	strict_macro_f1	0.3794
E16-H1	g7-literature	gemma4	credited_macro_f1	0.4359
E16-H1	g7-literature	gemma4	d_strict_f1	-0.0239
E16-H1	g7-literature	gemma4	d_credited_f1	-0.0193
E16-H1	g7-literature	gemma4	strict_P_lt	0.0312
E16-H1	g7-literature	gemma4	strict_R_lt	0.2222
E16-H1	g7-literature	gemma4	cred_P_lt	0.1328
E16-H1	g7-literature	gemma4	n_assert	229
E16-H2	g7-literature	gemma4	strict_macro_f1	0.4319
E16-H2	g7-literature	gemma4	credited_macro_f1	0.4513
E16-H2	g7-literature	gemma4	d_strict_f1	0.0285
E16-H2	g7-literature	gemma4	d_credited_f1	-0.0039
E16-H2	g7-literature	gemma4	strict_P_lt	0.0588
E16-H2	g7-literature	gemma4	strict_R_lt	0.3889
E16-H2	g7-literature	gemma4	cred_P_lt	0.0924
E16-H2	g7-literature	gemma4	n_assert	221
E16-H3	g7-literature	gemma4	strict_macro_f1	0.3356
E16-H3	g7-literature	gemma4	credited_macro_f1	0.3594
E16-H3	g7-literature	gemma4	d_strict_f1	-0.0677
E16-H3	g7-literature	gemma4	d_credited_f1	-0.0958
E16-H3	g7-literature	gemma4	strict_P_lt	0.1842
E16-H3	g7-literature	gemma4	strict_R_lt	0.3889
E16-H3	g7-literature	gemma4	cred_P_lt	0.2368
E16-H3	g7-literature	gemma4	n_assert	85
E16-combined	g7-literature	gemma4	strict_macro_f1	0.2794
E16-combined	g7-literature	gemma4	credited_macro_f1	0.2915
E16-combined	g7-literature	gemma4	d_strict_f1	-0.124
E16-combined	g7-literature	gemma4	d_credited_f1	-0.1638
E16-combined	g7-literature	gemma4	strict_P_lt	0.1081
E16-combined	g7-literature	gemma4	strict_R_lt	0.2222
E16-combined	g7-literature	gemma4	cred_P_lt	0.1351
E16-combined	g7-literature	gemma4	n_assert	72
E16-baseline	mouse-human	gemma4	strict_macro_f1	0.2426
E16-baseline	mouse-human	gemma4	credited_macro_f1	0.2852
E16-baseline	mouse-human	gemma4	d_strict_f1	0.0
E16-baseline	mouse-human	gemma4	d_credited_f1	0.0
E16-baseline	mouse-human	gemma4	strict_P_lt	0.0523
E16-baseline	mouse-human	gemma4	strict_R_lt	0.8257
E16-baseline	mouse-human	gemma4	cred_P_lt	0.1109
E16-baseline	mouse-human	gemma4	n_assert	16980
E16-H1	mouse-human	gemma4	strict_macro_f1	0.2488
E16-H1	mouse-human	gemma4	credited_macro_f1	0.2938
E16-H1	mouse-human	gemma4	d_strict_f1	0.0062
E16-H1	mouse-human	gemma4	d_credited_f1	0.0086
E16-H1	mouse-human	gemma4	strict_P_lt	0.0548
E16-H1	mouse-human	gemma4	strict_R_lt	0.8128
E16-H1	mouse-human	gemma4	cred_P_lt	0.1168
E16-H1	mouse-human	gemma4	n_assert	15605
E16-H2	mouse-human	gemma4	strict_macro_f1	0.2703
E16-H2	mouse-human	gemma4	credited_macro_f1	0.275
E16-H2	mouse-human	gemma4	d_strict_f1	0.0277
E16-H2	mouse-human	gemma4	d_credited_f1	-0.0102
E16-H2	mouse-human	gemma4	strict_P_lt	0.0816
E16-H2	mouse-human	gemma4	strict_R_lt	0.8257
E16-H2	mouse-human	gemma4	cred_P_lt	0.0863
E16-H2	mouse-human	gemma4	n_assert	11967
E16-H3	mouse-human	gemma4	strict_macro_f1	0.2833
E16-H3	mouse-human	gemma4	credited_macro_f1	0.2878
E16-H3	mouse-human	gemma4	d_strict_f1	0.0407
E16-H3	mouse-human	gemma4	d_credited_f1	0.0025
E16-H3	mouse-human	gemma4	strict_P_lt	0.1246
E16-H3	mouse-human	gemma4	strict_R_lt	0.5468
E16-H3	mouse-human	gemma4	cred_P_lt	0.1313
E16-H3	mouse-human	gemma4	n_assert	5147
E16-combined	mouse-human	gemma4	strict_macro_f1	0.2874
E16-combined	mouse-human	gemma4	credited_macro_f1	0.2925
E16-combined	mouse-human	gemma4	d_strict_f1	0.0447
E16-combined	mouse-human	gemma4	d_credited_f1	0.0073
E16-combined	mouse-human	gemma4	strict_P_lt	0.1266
E16-combined	mouse-human	gemma4	strict_R_lt	0.5541
E16-combined	mouse-human	gemma4	cred_P_lt	0.1345
E16-combined	mouse-human	gemma4	n_assert	4800
E16-baseline	vdi-ebay	gemma4	strict_macro_f1	0.0593
E16-baseline	vdi-ebay	gemma4	credited_macro_f1	0.1109
E16-baseline	vdi-ebay	gemma4	d_strict_f1	0.0
E16-baseline	vdi-ebay	gemma4	d_credited_f1	0.0
E16-baseline	vdi-ebay	gemma4	strict_P_lt	0.0507
E16-baseline	vdi-ebay	gemma4	strict_R_lt	0.717
E16-baseline	vdi-ebay	gemma4	cred_P_lt	0.1438
E16-baseline	vdi-ebay	gemma4	n_assert	6457
E16-H1	vdi-ebay	gemma4	strict_macro_f1	0.0575
E16-H1	vdi-ebay	gemma4	credited_macro_f1	0.1103
E16-H1	vdi-ebay	gemma4	d_strict_f1	-0.0017
E16-H1	vdi-ebay	gemma4	d_credited_f1	-0.0006
E16-H1	vdi-ebay	gemma4	strict_P_lt	0.0513
E16-H1	vdi-ebay	gemma4	strict_R_lt	0.7052
E16-H1	vdi-ebay	gemma4	cred_P_lt	0.1466
E16-H1	vdi-ebay	gemma4	n_assert	6243
E16-H2	vdi-ebay	gemma4	strict_macro_f1	0.0708
E16-H2	vdi-ebay	gemma4	credited_macro_f1	0.0735
E16-H2	vdi-ebay	gemma4	d_strict_f1	0.0116
E16-H2	vdi-ebay	gemma4	d_credited_f1	-0.0374
E16-H2	vdi-ebay	gemma4	strict_P_lt	0.0708
E16-H2	vdi-ebay	gemma4	strict_R_lt	0.717
E16-H2	vdi-ebay	gemma4	cred_P_lt	0.0752
E16-H2	vdi-ebay	gemma4	n_assert	4739
E16-H3	vdi-ebay	gemma4	strict_macro_f1	0.1235
E16-H3	vdi-ebay	gemma4	credited_macro_f1	0.1264
E16-H3	vdi-ebay	gemma4	d_strict_f1	0.0643
E16-H3	vdi-ebay	gemma4	d_credited_f1	0.0155
E16-H3	vdi-ebay	gemma4	strict_P_lt	0.2393
E16-H3	vdi-ebay	gemma4	strict_R_lt	0.2901
E16-H3	vdi-ebay	gemma4	cred_P_lt	0.2471
E16-H3	vdi-ebay	gemma4	n_assert	787
E16-combined	vdi-ebay	gemma4	strict_macro_f1	0.1212
E16-combined	vdi-ebay	gemma4	credited_macro_f1	0.124
E16-combined	vdi-ebay	gemma4	d_strict_f1	0.0619
E16-combined	vdi-ebay	gemma4	d_credited_f1	0.0131
E16-combined	vdi-ebay	gemma4	strict_P_lt	0.2378
E16-combined	vdi-ebay	gemma4	strict_R_lt	0.2877
E16-combined	vdi-ebay	gemma4	cred_P_lt	0.2456
E16-combined	vdi-ebay	gemma4	n_assert	748
E16-baseline	g3-text	gpt-oss	strict_macro_f1	0.455
E16-baseline	g3-text	gpt-oss	credited_macro_f1	0.4563
E16-baseline	g3-text	gpt-oss	d_strict_f1	0.0
E16-baseline	g3-text	gpt-oss	d_credited_f1	0.0
E16-baseline	g3-text	gpt-oss	strict_P_lt	0.3292
E16-baseline	g3-text	gpt-oss	strict_R_lt	0.8776
E16-baseline	g3-text	gpt-oss	cred_P_lt	0.3327
E16-baseline	g3-text	gpt-oss	n_assert	1760
E16-H1	g3-text	gpt-oss	strict_macro_f1	0.4562
E16-H1	g3-text	gpt-oss	credited_macro_f1	0.4576
E16-H1	g3-text	gpt-oss	d_strict_f1	0.0013
E16-H1	g3-text	gpt-oss	d_credited_f1	0.0013
E16-H1	g3-text	gpt-oss	strict_P_lt	0.3304
E16-H1	g3-text	gpt-oss	strict_R_lt	0.8776
E16-H1	g3-text	gpt-oss	cred_P_lt	0.3339
E16-H1	g3-text	gpt-oss	n_assert	1755
E16-H2	g3-text	gpt-oss	strict_macro_f1	0.4565
E16-H2	g3-text	gpt-oss	credited_macro_f1	0.4569
E16-H2	g3-text	gpt-oss	d_strict_f1	0.0015
E16-H2	g3-text	gpt-oss	d_credited_f1	0.0006
E16-H2	g3-text	gpt-oss	strict_P_lt	0.3324
E16-H2	g3-text	gpt-oss	strict_R_lt	0.8776
E16-H2	g3-text	gpt-oss	cred_P_lt	0.3333
E16-H2	g3-text	gpt-oss	n_assert	1746
E16-H3	g3-text	gpt-oss	strict_macro_f1	0.3371
E16-H3	g3-text	gpt-oss	credited_macro_f1	0.338
E16-H3	g3-text	gpt-oss	d_strict_f1	-0.1179
E16-H3	g3-text	gpt-oss	d_credited_f1	-0.1183
E16-H3	g3-text	gpt-oss	strict_P_lt	0.3648
E16-H3	g3-text	gpt-oss	strict_R_lt	0.2729
E16-H3	g3-text	gpt-oss	cred_P_lt	0.3679
E16-H3	g3-text	gpt-oss	n_assert	586
E16-combined	g3-text	gpt-oss	strict_macro_f1	0.338
E16-combined	g3-text	gpt-oss	credited_macro_f1	0.3388
E16-combined	g3-text	gpt-oss	d_strict_f1	-0.117
E16-combined	g3-text	gpt-oss	d_credited_f1	-0.1175
E16-combined	g3-text	gpt-oss	strict_P_lt	0.3648
E16-combined	g3-text	gpt-oss	strict_R_lt	0.2729
E16-combined	g3-text	gpt-oss	cred_P_lt	0.3679
E16-combined	g3-text	gpt-oss	n_assert	585
E16-baseline	g5-groceries	gpt-oss	strict_macro_f1	0.4015
E16-baseline	g5-groceries	gpt-oss	credited_macro_f1	0.4543
E16-baseline	g5-groceries	gpt-oss	d_strict_f1	0.0
E16-baseline	g5-groceries	gpt-oss	d_credited_f1	0.0
E16-baseline	g5-groceries	gpt-oss	strict_P_lt	0.1351
E16-baseline	g5-groceries	gpt-oss	strict_R_lt	0.7143
E16-baseline	g5-groceries	gpt-oss	cred_P_lt	0.2027
E16-baseline	g5-groceries	gpt-oss	n_assert	341
E16-H1	g5-groceries	gpt-oss	strict_macro_f1	0.4015
E16-H1	g5-groceries	gpt-oss	credited_macro_f1	0.4543
E16-H1	g5-groceries	gpt-oss	d_strict_f1	0.0
E16-H1	g5-groceries	gpt-oss	d_credited_f1	0.0
E16-H1	g5-groceries	gpt-oss	strict_P_lt	0.1351
E16-H1	g5-groceries	gpt-oss	strict_R_lt	0.7143
E16-H1	g5-groceries	gpt-oss	cred_P_lt	0.2027
E16-H1	g5-groceries	gpt-oss	n_assert	341
E16-H2	g5-groceries	gpt-oss	strict_macro_f1	0.4262
E16-H2	g5-groceries	gpt-oss	credited_macro_f1	0.4531
E16-H2	g5-groceries	gpt-oss	d_strict_f1	0.0246
E16-H2	g5-groceries	gpt-oss	d_credited_f1	-0.0011
E16-H2	g5-groceries	gpt-oss	strict_P_lt	0.1667
E16-H2	g5-groceries	gpt-oss	strict_R_lt	0.7143
E16-H2	g5-groceries	gpt-oss	cred_P_lt	0.1833
E16-H2	g5-groceries	gpt-oss	n_assert	286
E16-H3	g5-groceries	gpt-oss	strict_macro_f1	0.3926
E16-H3	g5-groceries	gpt-oss	credited_macro_f1	0.4085
E16-H3	g5-groceries	gpt-oss	d_strict_f1	-0.009
E16-H3	g5-groceries	gpt-oss	d_credited_f1	-0.0458
E16-H3	g5-groceries	gpt-oss	strict_P_lt	0.1818
E16-H3	g5-groceries	gpt-oss	strict_R_lt	0.5714
E16-H3	g5-groceries	gpt-oss	cred_P_lt	0.2045
E16-H3	g5-groceries	gpt-oss	n_assert	105
E16-combined	g5-groceries	gpt-oss	strict_macro_f1	0.3926
E16-combined	g5-groceries	gpt-oss	credited_macro_f1	0.4085
E16-combined	g5-groceries	gpt-oss	d_strict_f1	-0.009
E16-combined	g5-groceries	gpt-oss	d_credited_f1	-0.0458
E16-combined	g5-groceries	gpt-oss	strict_P_lt	0.1818
E16-combined	g5-groceries	gpt-oss	strict_R_lt	0.5714
E16-combined	g5-groceries	gpt-oss	cred_P_lt	0.2045
E16-combined	g5-groceries	gpt-oss	n_assert	105
E16-baseline	g7-literature	gpt-oss	strict_macro_f1	0.5425
E16-baseline	g7-literature	gpt-oss	credited_macro_f1	0.5965
E16-baseline	g7-literature	gpt-oss	d_strict_f1	0.0
E16-baseline	g7-literature	gpt-oss	d_credited_f1	0.0
E16-baseline	g7-literature	gpt-oss	strict_P_lt	0.0863
E16-baseline	g7-literature	gpt-oss	strict_R_lt	0.6667
E16-baseline	g7-literature	gpt-oss	cred_P_lt	0.1942
E16-baseline	g7-literature	gpt-oss	n_assert	246
E16-H1	g7-literature	gpt-oss	strict_macro_f1	0.5425
E16-H1	g7-literature	gpt-oss	credited_macro_f1	0.5965
E16-H1	g7-literature	gpt-oss	d_strict_f1	0.0
E16-H1	g7-literature	gpt-oss	d_credited_f1	0.0
E16-H1	g7-literature	gpt-oss	strict_P_lt	0.0863
E16-H1	g7-literature	gpt-oss	strict_R_lt	0.6667
E16-H1	g7-literature	gpt-oss	cred_P_lt	0.1942
E16-H1	g7-literature	gpt-oss	n_assert	246
E16-H2	g7-literature	gpt-oss	strict_macro_f1	0.5762
E16-H2	g7-literature	gpt-oss	credited_macro_f1	0.5873
E16-H2	g7-literature	gpt-oss	d_strict_f1	0.0338
E16-H2	g7-literature	gpt-oss	d_credited_f1	-0.0092
E16-H2	g7-literature	gpt-oss	strict_P_lt	0.1176
E16-H2	g7-literature	gpt-oss	strict_R_lt	0.6667
E16-H2	g7-literature	gpt-oss	cred_P_lt	0.1373
E16-H2	g7-literature	gpt-oss	n_assert	196
E16-H3	g7-literature	gpt-oss	strict_macro_f1	0.4937
E16-H3	g7-literature	gpt-oss	credited_macro_f1	0.5056
E16-H3	g7-literature	gpt-oss	d_strict_f1	-0.0488
E16-H3	g7-literature	gpt-oss	d_credited_f1	-0.091
E16-H3	g7-literature	gpt-oss	strict_P_lt	0.2895
E16-H3	g7-literature	gpt-oss	strict_R_lt	0.6111
E16-H3	g7-literature	gpt-oss	cred_P_lt	0.3158
E16-H3	g7-literature	gpt-oss	n_assert	68
E16-combined	g7-literature	gpt-oss	strict_macro_f1	0.4937
E16-combined	g7-literature	gpt-oss	credited_macro_f1	0.5056
E16-combined	g7-literature	gpt-oss	d_strict_f1	-0.0488
E16-combined	g7-literature	gpt-oss	d_credited_f1	-0.091
E16-combined	g7-literature	gpt-oss	strict_P_lt	0.2895
E16-combined	g7-literature	gpt-oss	strict_R_lt	0.6111
E16-combined	g7-literature	gpt-oss	cred_P_lt	0.3158
E16-combined	g7-literature	gpt-oss	n_assert	68
E16-baseline	mouse-human	gpt-oss	strict_macro_f1	0.353
E16-baseline	mouse-human	gpt-oss	credited_macro_f1	0.4082
E16-baseline	mouse-human	gpt-oss	d_strict_f1	0.0
E16-baseline	mouse-human	gpt-oss	d_credited_f1	0.0
E16-baseline	mouse-human	gpt-oss	strict_P_lt	0.0688
E16-baseline	mouse-human	gpt-oss	strict_R_lt	0.822
E16-baseline	mouse-human	gpt-oss	cred_P_lt	0.1439
E16-baseline	mouse-human	gpt-oss	n_assert	10959
E16-H1	mouse-human	gpt-oss	strict_macro_f1	0.3521
E16-H1	mouse-human	gpt-oss	credited_macro_f1	0.4073
E16-H1	mouse-human	gpt-oss	d_strict_f1	-0.001
E16-H1	mouse-human	gpt-oss	d_credited_f1	-0.0009
E16-H1	mouse-human	gpt-oss	strict_P_lt	0.0688
E16-H1	mouse-human	gpt-oss	strict_R_lt	0.822
E16-H1	mouse-human	gpt-oss	cred_P_lt	0.144
E16-H1	mouse-human	gpt-oss	n_assert	10947
E16-H2	mouse-human	gpt-oss	strict_macro_f1	0.387
E16-H2	mouse-human	gpt-oss	credited_macro_f1	0.3927
E16-H2	mouse-human	gpt-oss	d_strict_f1	0.0339
E16-H2	mouse-human	gpt-oss	d_credited_f1	-0.0155
E16-H2	mouse-human	gpt-oss	strict_P_lt	0.1109
E16-H2	mouse-human	gpt-oss	strict_R_lt	0.822
E16-H2	mouse-human	gpt-oss	cred_P_lt	0.1175
E16-H2	mouse-human	gpt-oss	n_assert	7767
E16-H3	mouse-human	gpt-oss	strict_macro_f1	0.3831
E16-H3	mouse-human	gpt-oss	credited_macro_f1	0.3889
E16-H3	mouse-human	gpt-oss	d_strict_f1	0.0301
E16-H3	mouse-human	gpt-oss	d_credited_f1	-0.0193
E16-H3	mouse-human	gpt-oss	strict_P_lt	0.1414
E16-H3	mouse-human	gpt-oss	strict_R_lt	0.6092
E16-H3	mouse-human	gpt-oss	cred_P_lt	0.1503
E16-H3	mouse-human	gpt-oss	n_assert	4031
E16-combined	mouse-human	gpt-oss	strict_macro_f1	0.3821
E16-combined	mouse-human	gpt-oss	credited_macro_f1	0.3879
E16-combined	mouse-human	gpt-oss	d_strict_f1	0.0291
E16-combined	mouse-human	gpt-oss	d_credited_f1	-0.0203
E16-combined	mouse-human	gpt-oss	strict_P_lt	0.1414
E16-combined	mouse-human	gpt-oss	strict_R_lt	0.6092
E16-combined	mouse-human	gpt-oss	cred_P_lt	0.1503
E16-combined	mouse-human	gpt-oss	n_assert	4024
E16-baseline	vdi-ebay	gpt-oss	strict_macro_f1	0.0431
E16-baseline	vdi-ebay	gpt-oss	credited_macro_f1	0.113
E16-baseline	vdi-ebay	gpt-oss	d_strict_f1	0.0
E16-baseline	vdi-ebay	gpt-oss	d_credited_f1	0.0
E16-baseline	vdi-ebay	gpt-oss	strict_P_lt	0.0401
E16-baseline	vdi-ebay	gpt-oss	strict_R_lt	0.3892
E16-baseline	vdi-ebay	gpt-oss	cred_P_lt	0.1664
E16-baseline	vdi-ebay	gpt-oss	n_assert	4467
E16-H1	vdi-ebay	gpt-oss	strict_macro_f1	0.0431
E16-H1	vdi-ebay	gpt-oss	credited_macro_f1	0.113
E16-H1	vdi-ebay	gpt-oss	d_strict_f1	0.0
E16-H1	vdi-ebay	gpt-oss	d_credited_f1	0.0
E16-H1	vdi-ebay	gpt-oss	strict_P_lt	0.0401
E16-H1	vdi-ebay	gpt-oss	strict_R_lt	0.3892
E16-H1	vdi-ebay	gpt-oss	cred_P_lt	0.1664
E16-H1	vdi-ebay	gpt-oss	n_assert	4467
E16-H2	vdi-ebay	gpt-oss	strict_macro_f1	0.052
E16-H2	vdi-ebay	gpt-oss	credited_macro_f1	0.0702
E16-H2	vdi-ebay	gpt-oss	d_strict_f1	0.0089
E16-H2	vdi-ebay	gpt-oss	d_credited_f1	-0.0428
E16-H2	vdi-ebay	gpt-oss	strict_P_lt	0.0565
E16-H2	vdi-ebay	gpt-oss	strict_R_lt	0.3892
E16-H2	vdi-ebay	gpt-oss	cred_P_lt	0.0877
E16-H2	vdi-ebay	gpt-oss	n_assert	3249
E16-H3	vdi-ebay	gpt-oss	strict_macro_f1	0.0888
E16-H3	vdi-ebay	gpt-oss	credited_macro_f1	0.1337
E16-H3	vdi-ebay	gpt-oss	d_strict_f1	0.0457
E16-H3	vdi-ebay	gpt-oss	d_credited_f1	0.0208
E16-H3	vdi-ebay	gpt-oss	strict_P_lt	0.1706
E16-H3	vdi-ebay	gpt-oss	strict_R_lt	0.2052
E16-H3	vdi-ebay	gpt-oss	cred_P_lt	0.2941
E16-H3	vdi-ebay	gpt-oss	n_assert	670
E16-combined	vdi-ebay	gpt-oss	strict_macro_f1	0.0888
E16-combined	vdi-ebay	gpt-oss	credited_macro_f1	0.1337
E16-combined	vdi-ebay	gpt-oss	d_strict_f1	0.0457
E16-combined	vdi-ebay	gpt-oss	d_credited_f1	0.0208
E16-combined	vdi-ebay	gpt-oss	strict_P_lt	0.1706
E16-combined	vdi-ebay	gpt-oss	strict_R_lt	0.2052
E16-combined	vdi-ebay	gpt-oss	cred_P_lt	0.2941
E16-combined	vdi-ebay	gpt-oss	n_assert	670
E16-H1	ALL	llama	registered_tau	0.894
E16-H1	ALL	mistral	registered_tau	0.758
E16-H1	ALL	gemma4	registered_tau	0.726
E16-H1	ALL	gpt-oss	registered_tau	0.444
E17-BC	g3-text	llama	pbar_model	0.1992
E17-BC	g3-text	llama	pbar_cell	0.5068
E17-BC	g3-text	llama	base_cred	0.2268
E17-BC	g3-text	llama	BCmodel_dcred	0.0675
E17-BC	g3-text	llama	BCcell_dcred	0.0733
E17-BC	g3-text	llama	BCmodel_dstrict	0.0677
E17-BC	g5-groceries	llama	pbar_model	0.1992
E17-BC	g5-groceries	llama	pbar_cell	0.1217
E17-BC	g5-groceries	llama	base_cred	0.2828
E17-BC	g5-groceries	llama	BCmodel_dcred	0.0241
E17-BC	g5-groceries	llama	BCcell_dcred	0.0519
E17-BC	g5-groceries	llama	BCmodel_dstrict	0.0372
E17-BC	g7-literature	llama	pbar_model	0.1992
E17-BC	g7-literature	llama	pbar_cell	0.1491
E17-BC	g7-literature	llama	base_cred	0.5061
E17-BC	g7-literature	llama	BCmodel_dcred	0.024
E17-BC	g7-literature	llama	BCcell_dcred	0.0403
E17-BC	g7-literature	llama	BCmodel_dstrict	0.0169
E17-BC	mouse-human	llama	pbar_model	0.1992
E17-BC	mouse-human	llama	pbar_cell	0.1367
E17-BC	mouse-human	llama	base_cred	0.1961
E17-BC	mouse-human	llama	BCmodel_dcred	0.1438
E17-BC	mouse-human	llama	BCcell_dcred	0.1452
E17-BC	mouse-human	llama	BCmodel_dstrict	0.1192
E17-BC	vdi-ebay	llama	pbar_model	0.1992
E17-BC	vdi-ebay	llama	pbar_cell	0.0025
E17-BC	vdi-ebay	llama	base_cred	0.0814
E17-BC	vdi-ebay	llama	BCmodel_dcred	-0.0465
E17-BC	vdi-ebay	llama	BCcell_dcred	-0.0396
E17-BC	vdi-ebay	llama	BCmodel_dstrict	-0.0072
E17-BC	g3-text	mistral	pbar_model	0.0253
E17-BC	g3-text	mistral	pbar_cell	0.0566
E17-BC	g3-text	mistral	base_cred	0.2146
E17-BC	g3-text	mistral	BCmodel_dcred	0.1009
E17-BC	g3-text	mistral	BCcell_dcred	0.1075
E17-BC	g3-text	mistral	BCmodel_dstrict	0.1008
E17-BC	g5-groceries	mistral	pbar_model	0.0253
E17-BC	g5-groceries	mistral	pbar_cell	0.0632
E17-BC	g5-groceries	mistral	base_cred	0.2578
E17-BC	g5-groceries	mistral	BCmodel_dcred	0.075
E17-BC	g5-groceries	mistral	BCcell_dcred	0.0794
E17-BC	g5-groceries	mistral	BCmodel_dstrict	0.05
E17-BC	g7-literature	mistral	pbar_model	0.0253
E17-BC	g7-literature	mistral	pbar_cell	0.0226
E17-BC	g7-literature	mistral	base_cred	0.2671
E17-BC	g7-literature	mistral	BCmodel_dcred	0.1518
E17-BC	g7-literature	mistral	BCcell_dcred	0.1398
E17-BC	g7-literature	mistral	BCmodel_dstrict	0.1042
E17-BC	mouse-human	mistral	pbar_model	0.0253
E17-BC	mouse-human	mistral	pbar_cell	0.0197
E17-BC	mouse-human	mistral	base_cred	0.2076
E17-BC	mouse-human	mistral	BCmodel_dcred	0.1461
E17-BC	mouse-human	mistral	BCcell_dcred	0.1475
E17-BC	mouse-human	mistral	BCmodel_dstrict	0.128
E17-BC	vdi-ebay	mistral	pbar_model	0.0253
E17-BC	vdi-ebay	mistral	pbar_cell	0.0028
E17-BC	vdi-ebay	mistral	base_cred	0.082
E17-BC	vdi-ebay	mistral	BCmodel_dcred	-0.0171
E17-BC	vdi-ebay	mistral	BCcell_dcred	0.0722
E17-BC	vdi-ebay	mistral	BCmodel_dstrict	0.0129
E17-BC	g3-text	gemma4	pbar_model	0.4782
E17-BC	g3-text	gemma4	pbar_cell	0.5961
E17-BC	g3-text	gemma4	base_cred	0.3582
E17-BC	g3-text	gemma4	BCmodel_dcred	0.1081
E17-BC	g3-text	gemma4	BCcell_dcred	0.109
E17-BC	g3-text	gemma4	BCmodel_dstrict	0.1085
E17-BC	g5-groceries	gemma4	pbar_model	0.4782
E17-BC	g5-groceries	gemma4	pbar_cell	0.4877
E17-BC	g5-groceries	gemma4	base_cred	0.3953
E17-BC	g5-groceries	gemma4	BCmodel_dcred	0.0397
E17-BC	g5-groceries	gemma4	BCcell_dcred	0.0397
E17-BC	g5-groceries	gemma4	BCmodel_dstrict	0.0336
E17-BC	g7-literature	gemma4	pbar_model	0.4782
E17-BC	g7-literature	gemma4	pbar_cell	0.3757
E17-BC	g7-literature	gemma4	base_cred	0.4552
E17-BC	g7-literature	gemma4	BCmodel_dcred	0.1177
E17-BC	g7-literature	gemma4	BCcell_dcred	0.1189
E17-BC	g7-literature	gemma4	BCmodel_dstrict	0.0554
E17-BC	mouse-human	gemma4	pbar_model	0.4782
E17-BC	mouse-human	gemma4	pbar_cell	0.4636
E17-BC	mouse-human	gemma4	base_cred	0.2852
E17-BC	mouse-human	gemma4	BCmodel_dcred	0.1605
E17-BC	mouse-human	gemma4	BCcell_dcred	0.1598
E17-BC	mouse-human	gemma4	BCmodel_dstrict	0.1352
E17-BC	vdi-ebay	gemma4	pbar_model	0.4782
E17-BC	vdi-ebay	gemma4	pbar_cell	0.2615
E17-BC	vdi-ebay	gemma4	base_cred	0.1109
E17-BC	vdi-ebay	gemma4	BCmodel_dcred	0.1353
E17-BC	vdi-ebay	gemma4	BCcell_dcred	0.1315
E17-BC	vdi-ebay	gemma4	BCmodel_dstrict	0.0587
E17-V1V3	g3-text	llama	tau_v	0.0
E17-V1V3	g3-text	llama	base_cred	0.2268
E17-V1V3	g3-text	llama	V1_dcred	0.0732
E17-V1V3	g3-text	llama	V3_dcred	0.0062
E17-V1V3	g3-text	llama	V3_dstrict	0.0062
E17-V1V3	g5-groceries	llama	tau_v	0.0
E17-V1V3	g5-groceries	llama	base_cred	0.2828
E17-V1V3	g5-groceries	llama	V1_dcred	-0.0177
E17-V1V3	g5-groceries	llama	V3_dcred	0.0551
E17-V1V3	g5-groceries	llama	V3_dstrict	0.0441
E17-V1V3	g7-literature	llama	tau_v	0.0
E17-V1V3	g7-literature	llama	base_cred	0.5061
E17-V1V3	g7-literature	llama	V1_dcred	-0.0004
E17-V1V3	g7-literature	llama	V3_dcred	0.031
E17-V1V3	g7-literature	llama	V3_dstrict	0.0208
E17-V1V3	mouse-human	llama	tau_v	0.0
E17-V1V3	mouse-human	llama	base_cred	0.1961
E17-V1V3	mouse-human	llama	V1_dcred	0.141
E17-V1V3	mouse-human	llama	V3_dcred	0.0538
E17-V1V3	mouse-human	llama	V3_dstrict	0.045
E17-V1V3	vdi-ebay	llama	tau_v	0.0
E17-V1V3	vdi-ebay	llama	base_cred	0.0814
E17-V1V3	vdi-ebay	llama	V1_dcred	-0.0576
E17-V1V3	vdi-ebay	llama	V3_dcred	0.0391
E17-V1V3	vdi-ebay	llama	V3_dstrict	0.0123
E17-V1V3	g3-text	mistral	tau_v	0.0022
E17-V1V3	g3-text	mistral	base_cred	0.2146
E17-V1V3	g3-text	mistral	V1_dcred	-0.1101
E17-V1V3	g3-text	mistral	V3_dcred	0.0068
E17-V1V3	g3-text	mistral	V3_dstrict	0.0068
E17-V1V3	g5-groceries	mistral	tau_v	0.0022
E17-V1V3	g5-groceries	mistral	base_cred	0.2578
E17-V1V3	g5-groceries	mistral	V1_dcred	-0.0821
E17-V1V3	g5-groceries	mistral	V3_dcred	0.0142
E17-V1V3	g5-groceries	mistral	V3_dstrict	0.0103
E17-V1V3	g7-literature	mistral	tau_v	0.0022
E17-V1V3	g7-literature	mistral	base_cred	0.2671
E17-V1V3	g7-literature	mistral	V1_dcred	-0.1718
E17-V1V3	g7-literature	mistral	V3_dcred	0.0163
E17-V1V3	g7-literature	mistral	V3_dstrict	0.0077
E17-V1V3	mouse-human	mistral	tau_v	0.0022
E17-V1V3	mouse-human	mistral	base_cred	0.2076
E17-V1V3	mouse-human	mistral	V1_dcred	-0.1361
E17-V1V3	mouse-human	mistral	V3_dcred	0.0504
